epoch,elbo,nll,kl,prior_std
1,[10075.801],874.1059,[9201.695],0.0050223996,0.05000950541885954
2,[10093.112],912.0839,[9181.027],0.0050223996,0.050018878865723974
3,[10077.252],916.39825,[9160.8545],0.0050223996,0.05002823534321753
4,[10050.073],909.29596,[9140.777],0.0050223996,0.050037587151074946
5,[10023.885],903.0902,[9120.795],0.0050223996,0.05004693766598682
6,[9985.485],884.61206,[9100.873],0.0050223996,0.05005628811763603
7,[9954.746],873.7667,[9080.9795],0.0050223996,0.0500656389743524
8,[9941.011],879.88245,[9061.129],0.0050223996,0.05007499037080591
9,[9904.446],863.1178,[9041.328],0.0050223996,0.05008434227736687
10,[9861.505],839.9293,[9021.576],0.0050223996,0.05009369458066561
11,[9903.177],901.34796,[9001.828],0.0050223996,0.05010304712540721
12,[9898.671],916.52844,[8982.143],0.0050223996,0.050112399735556715
13,[9848.943],886.43463,[8962.509],0.0050223996,0.05012175222526681
14,[9844.304],901.385,[8942.918],0.0050223996,0.05013110440541799
15,[9797.307],873.8898,[8923.416],0.0050223996,0.05014045608912756
16,[9823.663],919.67035,[8903.993],0.0050223996,0.050149807097070356
17,[9764.243],879.5885,[8884.654],0.0050223996,0.05015915726063451
18,[9771.267],905.88043,[8865.387],0.0050223996,0.05016850642348412
19,[9698.138],851.94617,[8846.191],0.0050223996,0.0501778544400856
20,[9776.723],949.64154,[8827.081],0.0050223996,0.0501872011745461
21,[9742.454],934.3815,[8808.072],0.0050223996,0.05019654649978319
22,[9646.893],857.7943,[8789.099],0.0050223996,0.05020589029911821
23,[9678.91],908.74976,[8770.16],0.0050223996,0.05021523246699318
24,[9644.744],893.4493,[8751.295],0.0050223996,0.050224572907657104
25,[9579.766],847.2711,[8732.494],0.0050223996,0.050233911533183385
26,[9574.584],860.8624,[8713.721],0.0050223996,0.05024324826305762
27,[9583.178],888.1908,[8694.987],0.0050223996,0.05025258302442122
28,[9577.229],900.9093,[8676.319],0.0050223996,0.05026191575214106
