epoch,elbo,nll,kl,prior_std
100,[13313.989],4219.2646,[9094.725],tensor(0.0500)
200,[12699.373],3632.777,[9066.596],tensor(0.0500)
300,[11668.543],2629.2842,[9039.258],tensor(0.0500)
400,[10970.471],1957.8528,[9012.617],tensor(0.0500)
500,[10450.888],1464.2493,[8986.639],tensor(0.0500)
600,[10321.527],1360.5459,[8960.982],tensor(0.0500)
700,[9563.99],628.3473,[8935.644],tensor(0.0500)
800,[9501.23],590.58075,[8910.649],tensor(0.0500)
900,[9856.509],970.71704,[8885.792],tensor(0.0500)
1000,[9727.503],866.3199,[8861.183],tensor(0.0500)
1100,[9302.218],465.61835,[8836.6],tensor(0.0500)
1200,[9400.393],588.3894,[8812.002],tensor(0.0500)
1300,[9392.172],604.5709,[8787.602],tensor(0.0500)
1400,[9408.758],645.5243,[8763.232],tensor(0.0500)
1500,[9303.498],564.38306,[8739.115],tensor(0.0500)
1600,[9446.499],731.66724,[8714.832],tensor(0.0500)
1700,[9056.287],365.843,[8690.444],tensor(0.0500)
1800,[9469.069],802.85876,[8666.211],tensor(0.0500)
1900,[8992.201],349.95816,[8642.244],tensor(0.0500)
2000,[8837.682],219.52956,[8618.152],tensor(0.0500)
2100,[9157.896],563.91846,[8593.979],tensor(0.0500)
2200,[9136.604],566.6224,[8569.98],tensor(0.0500)
2300,[8976.107],430.19284,[8545.914],tensor(0.0500)
2400,[8819.262],297.42392,[8521.838],tensor(0.0500)
2500,[8877.943],380.1844,[8497.758],tensor(0.0500)
2600,[8957.36],483.64386,[8473.717],tensor(0.0500)
2700,[8663.184],213.58023,[8449.604],tensor(0.0500)
2800,[8711.254],285.76407,[8425.489],tensor(0.0500)
2900,[8719.996],318.59753,[8401.398],tensor(0.0500)
3000,[8689.743],312.50616,[8377.236],tensor(0.0500)
3100,[8644.9],291.87543,[8353.025],tensor(0.0500)
3200,[8670.233],341.17978,[8329.054],tensor(0.0500)
3300,[8408.1875],103.2785,[8304.908],tensor(0.0500)
3400,[8551.658],270.77957,[8280.879],tensor(0.0500)
3500,[8449.42],192.71306,[8256.707],tensor(0.0500)
3600,[8650.471],418.0789,[8232.391],tensor(0.0500)
3700,[8695.383],487.09042,[8208.292],tensor(0.0500)
3800,[8520.109],335.9651,[8184.144],tensor(0.0500)
3900,[8260.316],100.45461,[8159.8613],tensor(0.0500)
4000,[8427.611],292.22028,[8135.3916],tensor(0.0500)
4100,[8284.752],173.85172,[8110.9004],tensor(0.0500)
4200,[8328.45],242.02289,[8086.4277],tensor(0.0500)
4300,[8127.4854],65.37534,[8062.1104],tensor(0.0500)
4400,[8234.954],197.19426,[8037.76],tensor(0.0500)
4500,[8437.513],424.1496,[8013.3633],tensor(0.0500)
4600,[8275.664],286.83987,[7988.824],tensor(0.0500)
4700,[8492.195],528.11053,[7964.085],tensor(0.0500)
4800,[8462.553],523.16113,[7939.3926],tensor(0.0500)
4900,[7973.932],59.400555,[7914.5317],tensor(0.0500)
5000,[8254.957],365.2349,[7889.7217],tensor(0.0500)
5100,[8057.593],192.81857,[7864.7744],tensor(0.0500)
5200,[8100.798],260.96588,[7839.832],tensor(0.0500)
5300,[7965.068],149.9242,[7815.1436],tensor(0.0500)
5400,[8102.3726],311.8894,[7790.483],tensor(0.0500)
5500,[7930.949],165.05397,[7765.8955],tensor(0.0500)
5600,[7766.3936],25.102898,[7741.2905],tensor(0.0500)
5700,[7801.6465],85.080025,[7716.567],tensor(0.0500)
5800,[7772.3154],80.43312,[7691.883],tensor(0.0500)
5900,[7830.508],163.29955,[7667.208],tensor(0.0500)
6000,[7649.942],7.1366854,[7642.805],tensor(0.0500)
6100,[7642.6875],24.458351,[7618.2295],tensor(0.0500)
6200,[7627.8643],34.22127,[7593.643],tensor(0.0500)
6300,[7566.4707],-2.6277733,[7569.0986],tensor(0.0500)
6400,[7580.8916],36.309464,[7544.582],tensor(0.0500)
6500,[7548.8135],29.028593,[7519.785],tensor(0.0500)
6600,[7602.1924],107.016815,[7495.1753],tensor(0.0500)
6700,[7587.325],116.7361,[7470.589],tensor(0.0500)
6800,[7509.4697],63.398636,[7446.071],tensor(0.0500)
6900,[7485.7617],64.06119,[7421.7],tensor(0.0500)
7000,[7438.9346],41.503387,[7397.4307],tensor(0.0500)
7100,[7367.8364],-5.391573,[7373.228],tensor(0.0500)
7200,[7554.4604],205.73668,[7348.7236],tensor(0.0500)
7300,[7341.048],16.777126,[7324.271],tensor(0.0500)
7400,[7367.3906],67.62598,[7299.7646],tensor(0.0500)
7500,[7346.1504],70.78369,[7275.367],tensor(0.0500)
7600,[7381.8867],130.88596,[7251.001],tensor(0.0500)
7700,[7240.526],13.742407,[7226.783],tensor(0.0500)
7800,[7205.6895],3.0006866,[7202.6885],tensor(0.0500)
7900,[7167.9785],-10.682933,[7178.6616],tensor(0.0500)
8000,[7293.0938],138.53035,[7154.5635],tensor(0.0500)
8100,[7195.1523],64.57837,[7130.5737],tensor(0.0500)
8200,[7149.3643],42.47097,[7106.8936],tensor(0.0500)
8300,[7121.6396],38.396435,[7083.243],tensor(0.0500)
8400,[7088.815],29.126705,[7059.6885],tensor(0.0500)
8500,[7056.456],20.142178,[7036.3145],tensor(0.0500)
8600,[7007.9204],-5.3392787,[7013.26],tensor(0.0500)
8700,[7003.057],12.771397,[6990.286],tensor(0.0500)
8800,[7264.8296],297.31064,[6967.519],tensor(0.0500)
8900,[6959.482],14.540214,[6944.942],tensor(0.0500)
9000,[7034.8604],112.50302,[6922.3574],tensor(0.0500)
9100,[6874.115],-25.847443,[6899.963],tensor(0.0500)
9200,[6873.135],-4.564678,[6877.699],tensor(0.0500)
9300,[6861.961],6.3927364,[6855.568],tensor(0.0500)
9400,[6832.6797],-1.013423,[6833.6934],tensor(0.0500)
9500,[6830.582],18.745327,[6811.8364],tensor(0.0500)
9600,[6884.543],94.230705,[6790.3125],tensor(0.0500)
9700,[6788.839],19.667599,[6769.1714],tensor(0.0500)
9800,[6851.713],103.84574,[6747.867],tensor(0.0500)
9900,[6832.359],105.423676,[6726.9355],tensor(0.0500)
10000,[6698.025],-8.068887,[6706.0938],tensor(0.0500)
10100,[6767.4883],81.92534,[6685.5635],tensor(0.0500)
10200,[6660.757],-4.357225,[6665.114],tensor(0.0500)
10300,[6749.8926],105.11235,[6644.7803],tensor(0.0500)
10400,[6638.199],13.482807,[6624.717],tensor(0.0500)
10500,[6713.3057],108.526276,[6604.7793],tensor(0.0500)
10600,[6634.0415],48.785114,[6585.2563],tensor(0.0500)
10700,[6544.7007],-21.322346,[6566.023],tensor(0.0500)
10800,[6591.0293],44.09973,[6546.9297],tensor(0.0500)
10900,[6589.5713],61.338512,[6528.233],tensor(0.0500)
11000,[6497.8276],-11.819487,[6509.6475],tensor(0.0500)
11100,[6497.457],6.302658,[6491.1543],tensor(0.0500)
11200,[6483.062],9.987119,[6473.075],tensor(0.0500)
11300,[6459.157],4.07125,[6455.086],tensor(0.0500)
11400,[6478.5557],41.194332,[6437.3613],tensor(0.0500)
11500,[6402.757],-17.064579,[6419.8213],tensor(0.0500)
11600,[6480.585],77.97663,[6402.6084],tensor(0.0500)
11700,[6467.843],82.30035,[6385.542],tensor(0.0500)
11800,[6398.9385],30.380505,[6368.5586],tensor(0.0500)
11900,[6340.552],-11.34197,[6351.8936],tensor(0.0500)
12000,[6328.0107],-7.442361,[6335.453],tensor(0.0500)
12100,[6324.377],5.321418,[6319.0557],tensor(0.0500)
12200,[6303.1265],0.18598127,[6302.9404],tensor(0.0500)
12300,[6268.1807],-18.83833,[6287.0195],tensor(0.0500)
12400,[6261.333],-9.819227,[6271.1523],tensor(0.0500)
12500,[6269.587],14.321752,[6255.265],tensor(0.0500)
12600,[6274.464],34.820156,[6239.644],tensor(0.0500)
12700,[6215.91],-8.3381195,[6224.2485],tensor(0.0500)
12800,[6246.721],38.008995,[6208.712],tensor(0.0500)
12900,[6208.4844],14.872999,[6193.6113],tensor(0.0500)
13000,[6232.086],53.66007,[6178.426],tensor(0.0500)
13100,[6171.3438],7.9229727,[6163.421],tensor(0.0500)
13200,[6136.784],-11.863028,[6148.6475],tensor(0.0500)
13300,[6168.214],34.169575,[6134.044],tensor(0.0500)
13400,[6125.208],5.562025,[6119.6465],tensor(0.0500)
13500,[6138.4414],33.039692,[6105.4014],tensor(0.0500)
13600,[6121.3184],29.901756,[6091.417],tensor(0.0500)
13700,[6093.8984],16.408573,[6077.49],tensor(0.0500)
13800,[6063.1616],-0.47385323,[6063.6353],tensor(0.0500)
13900,[6111.157],61.12653,[6050.0303],tensor(0.0500)
14000,[6086.3477],49.911293,[6036.4365],tensor(0.0500)
14100,[6145.1377],121.88974,[6023.248],tensor(0.0500)
14200,[6034.558],24.51897,[6010.039],tensor(0.0500)
14300,[5983.9355],-12.94681,[5996.8823],tensor(0.0500)
14400,[6006.441],22.422894,[5984.0176],tensor(0.0500)
14500,[6013.2334],42.098473,[5971.135],tensor(0.0500)
14600,[5977.0254],18.655954,[5958.3696],tensor(0.0500)
14700,[6059.5146],113.90756,[5945.6074],tensor(0.0500)
14800,[5930.135],-3.0832076,[5933.218],tensor(0.0500)
14900,[5944.6855],23.8652,[5920.8203],tensor(0.0500)
15000,[5971.0356],62.578644,[5908.457],tensor(0.0500)
15100,[5950.718],54.44419,[5896.2734],tensor(0.0500)
15200,[5956.6895],72.497025,[5884.1924],tensor(0.0500)
15300,[5869.3506],-2.9206362,[5872.2715],tensor(0.0500)
15400,[5937.7266],77.23468,[5860.492],tensor(0.0500)
15500,[5861.592],12.588062,[5849.0034],tensor(0.0500)
15600,[5880.733],43.137512,[5837.5957],tensor(0.0500)
15700,[5818.3545],-8.159199,[5826.5137],tensor(0.0500)
15800,[5855.58],39.777367,[5815.8027],tensor(0.0500)
15900,[5814.9424],9.866858,[5805.075],tensor(0.0500)
16000,[5803.995],9.556856,[5794.4385],tensor(0.0500)
16100,[5806.155],22.245815,[5783.909],tensor(0.0500)
16200,[5756.211],-17.252802,[5773.464],tensor(0.0500)
16300,[5814.355],51.314568,[5763.04],tensor(0.0500)
16400,[5796.437],43.71459,[5752.7227],tensor(0.0500)
16500,[5737.705],-4.947407,[5742.6523],tensor(0.0500)
16600,[5744.708],12.10205,[5732.6055],tensor(0.0500)
16700,[5728.7725],6.055158,[5722.718],tensor(0.0500)
16800,[5723.028],10.114659,[5712.913],tensor(0.0500)
16900,[5699.461],-3.955186,[5703.416],tensor(0.0500)
17000,[5688.7764],-5.023873,[5693.801],tensor(0.0500)
17100,[5681.531],-3.0353084,[5684.566],tensor(0.0500)
