epoch,elbo,nll,kl,prior_std
100,[18101.602],546.9475,[17554.654],0.35075098,0.9377115471326726
200,[16650.98],423.51767,[16227.463],0.35075098,0.8772649879638681
300,[15235.101],351.6801,[14883.421],0.35075098,0.818845773448375
400,[13694.87],160.22894,[13534.642],0.35075098,0.7626614249610559
500,[12307.834],126.07538,[12181.759],0.35075098,0.7089153093108805
600,[10923.821],86.0798,[10837.741],0.35075098,0.6578034745440325
700,[9593.029],84.96108,[9508.068],0.35075098,0.6095172278359948
800,[8240.231],32.835068,[8207.396],0.35075098,0.5642325464283517
900,[7050.4526],93.573944,[6956.879],0.35075098,0.5221253215352892
1000,[5904.686],124.12973,[5780.556],0.35075098,0.4833626102838792
1100,[4749.163],47.286167,[4701.877],0.35075098,0.4480979391856082
1200,[3785.0442],37.09763,[3747.9465],0.35075098,0.41646120959129906
1300,[3043.943],106.121284,[2937.8218],0.35075098,0.38855436932528764
1400,[2433.1238],154.7993,[2278.3245],0.35075098,0.3644081633881555
1500,[1796.9384],27.292393,[1769.646],0.35075098,0.34396235166952205
1600,[1631.3319],241.88794,[1389.444],0.35075098,0.32703286055688086
1700,[1167.9053],54.60902,[1113.2963],0.35075098,0.3133104528690099
1800,[1007.5787],95.3223,[912.25635],0.35075098,0.3023738533873745
1900,[829.2036],63.70581,[765.4978],0.35075098,0.29375258906712
2000,[682.7059],30.505625,[652.20026],0.35075098,0.28698647534366717
2100,[658.656],89.84425,[568.81177],0.35075098,0.2816623763480627
2200,[566.6937],66.50044,[500.19327],0.35075098,0.27742591593296156
2300,[476.4098],33.406906,[443.0029],0.35075098,0.27399790064557106
2400,[490.6076],97.16333,[393.44427],0.35075098,0.2711870049598784
2500,[449.32126],97.421936,[351.89932],0.35075098,0.26883624829935615
2600,[363.11087],46.42345,[316.6874],0.35075098,0.2668420961221295
2700,[369.3967],82.45453,[286.94217],0.35075098,0.2651352563537609
2800,[371.34674],108.67444,[262.6723],0.35075098,0.2636455025606498
2900,[284.43677],44.416557,[240.02022],0.35075098,0.262331651025041
3000,[393.8952],173.42462,[220.4706],0.35075098,0.261166810332546
3100,[293.72314],90.46179,[203.26137],0.35075098,0.2601261382240463
3200,[290.98853],102.222626,[188.76591],0.35075098,0.2591857386350521
3300,[263.02927],87.26705,[175.7622],0.35075098,0.2583266991687617
3400,[295.8838],133.24635,[162.63742],0.35075098,0.25752548049988666
3500,[232.91113],81.61269,[151.29845],0.35075098,0.2567794559013222
3600,[392.9591],252.00798,[140.95114],0.35075098,0.256070340076093
3700,[228.6289],97.47588,[131.15303],0.35075098,0.2553801592568446
3800,[195.49716],73.72015,[121.777],0.35075098,0.2547277108821755
3900,[175.42432],62.084602,[113.33971],0.35075098,0.2540955248667232
4000,[189.41287],84.4409,[104.97198],0.35075098,0.25347917595230157
4100,[210.63547],113.26455,[97.37091],0.35075098,0.2528591605026204
4200,[165.3248],75.09933,[90.22547],0.35075098,0.25225334993490456
4300,[203.34654],119.585464,[83.76108],0.35075098,0.2516559774110451
4400,[193.78014],116.24357,[77.53657],0.35075098,0.25105525688300123
4500,[143.94626],72.66249,[71.28376],0.35075098,0.2504414386481757
4600,[169.40178],104.07497,[65.32681],0.35075098,0.24982543270906146
4700,[143.76524],83.840576,[59.924664],0.35075098,0.24921359983607907
4800,[140.50027],84.45409,[56.046196],0.35075098,0.24860373988989898
4900,[137.18712],85.98424,[51.202885],0.35075098,0.24798562373873856
5000,[124.1693],76.83839,[47.330914],0.35075098,0.24735905012325304
5100,[118.36238],74.48419,[43.878185],0.35075098,0.24674668391052995
5200,[109.46723],69.02872,[40.438515],0.35075098,0.246126952458064
5300,[107.985916],70.373474,[37.61244],0.35075098,0.24551168612399374
5400,[112.572716],77.503784,[35.06893],0.35075098,0.24488988217197172
5500,[93.23297],60.799446,[32.43352],0.35075098,0.2442649368022627
5600,[103.25276],73.09205,[30.160717],0.35075098,0.24363726481208703
5700,[95.078156],67.13924,[27.938915],0.35075098,0.24301443411766388
5800,[127.18525],101.32402,[25.861229],0.35075098,0.24239769353725965
5900,[100.54826],76.63617,[23.912096],0.35075098,0.24178019792698882
6000,[99.28949],76.38979,[22.8997],0.35075098,0.24116241444469277
6100,[108.11042],87.3242,[20.786217],0.35075098,0.24053557971726655
6200,[100.53303],80.73636,[19.79667],0.35075098,0.2399176596361262
6300,[102.752716],83.996956,[18.755758],0.35075098,0.2393026887752091
6400,[90.90032],73.69467,[17.205652],0.35075098,0.23867924088459824
6500,[94.49558],78.69786,[15.797723],0.35075098,0.2380706013118746
6600,[87.09156],71.580734,[15.510825],0.35075098,0.23747693836136555
6700,[112.00793],97.70515,[14.302783],0.35075098,0.23685197453893073
6800,[83.63498],70.9437,[12.691279],0.35075098,0.23625361069187464
6900,[85.760315],72.98363,[12.776688],0.35075098,0.23565121549846885
7000,[87.92203],76.48373,[11.438304],0.35075098,0.235053310493944
7100,[93.85674],83.18394,[10.672807],0.35075098,0.23445625004262688
7200,[88.459175],78.28972,[10.169456],0.35075098,0.23388576974432532
7300,[78.74378],68.69708,[10.046701],0.35075098,0.23330731719477743
7400,[83.64896],74.49722,[9.151734],0.35075098,0.23271429024398887
7500,[99.34735],90.52756,[8.819793],0.35075098,0.2321323949241266
7600,[90.271484],82.481514,[7.7899733],0.35075098,0.23157089485975796
7700,[90.38052],82.991875,[7.388647],0.35075098,0.23101920365236248
7800,[78.14442],70.90807,[7.2363462],0.35075098,0.2304612199206367
7900,[84.71384],77.38852,[7.3253202],0.35075098,0.22989463619902278
8000,[126.648224],120.47772,[6.1705008],0.35075098,0.22933581119651092
8100,[77.650894],71.5276,[6.1232886],0.35075098,0.22878563529190085
8200,[77.405106],71.46559,[5.9395156],0.35075098,0.22823548861789905
8300,[91.09822],85.49356,[5.6046605],0.35075098,0.22770649426437894
8400,[90.448166],85.222275,[5.225889],0.35075098,0.22718448614104297
8500,[78.49711],72.5261,[5.9710116],0.35075098,0.22664707134971518
8600,[83.24242],77.63931,[5.6031065],0.35075098,0.2261226556300597
8700,[85.100845],79.95795,[5.142896],0.35075098,0.22557460917104077
8800,[96.43082],92.05301,[4.377808],0.35075098,0.22507118994331946
8900,[79.49709],74.28796,[5.2091403],0.35075098,0.22452356674860438
9000,[76.86418],72.342384,[4.5218],0.35075098,0.2240138056583325
9100,[87.42147],82.89738,[4.524095],0.35075098,0.22352511512904563
9200,[127.1331],122.88112,[4.2519813],0.35075098,0.2230379620721068
9300,[85.72383],81.01804,[4.70579],0.35075098,0.222486098663491
9400,[80.05822],76.338715,[3.7195082],0.35075098,0.22197306580487391
9500,[89.04163],85.013756,[4.0278764],0.35075098,0.22148842764124343
9600,[79.9438],75.416466,[4.527334],0.35075098,0.22100443852774332
