epoch,elbo,nll,kl,prior_mean,prior_std
,,,,,
1,[98302352.],98302296,[39.49823],0.005577868,0.999791265
,,,,,
2,[74934152.],74934090,[70.822876],0.010846052,0.999719977
,,,,,
3,[57121984.],57121860,[125.84951],0.015921084,0.999982536
,,,,,
4,[43944612.],43944412,[201.86647],0.021013193,1.000542283
,,,,,
5,[34289748.],34289468,[297.50983],0.026260024,1.001469851
,,,,,
6,[26896062.],26895634,[415.91476],0.03180016,1.002765536
,,,,,
7,[20546586.],20546054,[558.0409],0.037630454,1.004458666
,,,,,
8,[15177401.],15176678,[724.68164],0.043680254,1.006657243
,,,,,
9,[10876890.],10875968,[915.0353],0.04989943,1.009333372
,,,,,
10,[7495472.],7494350,[1122.883],0.05578612,1.012296677
,,,,,
11,[5057840.5],5056508,[1336.4089],0.06120791,1.015359879
,,,,,
12,[3530451.2],3528903.2,[1548.5946],0.06601258,1.018435836
,,,,,
13,[2418789.],2417042.2,[1749.3563],0.07016534,1.021317959
,,,,,
14,[1798636.9],1796694.9,[1942.2539],0.0741041,1.024127245
,,,,,
15,[1304021.8],1301895,[2126.3923],0.077541046,1.02676487
,,,,,
16,[1019021.7],1016723.3,[2298.3503],0.08071887,1.029398203
,,,,,
17,[792936.],790474.06,[2462.9524],0.083597414,1.031978965
,,,,,
18,[677503.2],674884.1,[2619.064],0.08633636,1.034480929
,,,,,
19,[567204.],564435.94,[2767.508],0.08882549,1.036911607
,,,,,
20,[487018.22],484112.38,[2905.6653],0.09110792,1.039050102
,,,,,
21,[433670.12],430635.44,[3035.034],0.09331185,1.041242599
,,,,,
22,[394383.88],391227.78,[3155.7524],0.09537424,1.043383002
,,,,,
23,[365312.6],362038.3,[3274.327],0.09741109,1.045408964
,,,,,
24,[337790.],334404.34,[3385.9124],0.0993004,1.047466516
,,,,,
25,[314830.],311339.8,[3489.987],0.1010487,1.049312353
,,,,,
26,[305135.66],301544.38,[3591.0066],0.102772765,1.051098585
,,,,,
27,[283060.9],279374.56,[3686.3057],0.1043723,1.052869081
,,,,,
28,[267775.25],264004.88,[3770.215],0.105803445,1.054419279
,,,,,
29,[261515.1],257662.44,[3852.6665],0.10738505,1.056096077
,,,,,
30,[247144.7],243213.36,[3931.3235],0.10877135,1.057496071
,,,,,
31,[250067.45],246061.89,[4005.4446],0.110183075,1.058979511
,,,,,
32,[234871.4],230798.53,[4073.1436],0.111445434,1.060143232
,,,,,
33,[227808.25],223668.58,[4139.537],0.11274581,1.061564922
,,,,,
34,[228526.28],224322.98,[4203.3086],0.11399807,1.062820911
,,,,,
35,[221202.14],216939.73,[4262.524],0.11516015,1.063912392
