epoch,elbo,nll,kl,prior_std
1,[601271.9],76978.195,[524293.75],9.906127229583648
2,[556547.3],33223.12,[523324.1],9.812254421356283
3,[547444.94],25207.99,[522237.12],9.718381928508556
4,[542277.],21278.102,[520999.06],9.624510127702319
5,[538080.6],18446.219,[519634.62],9.530638778475328
6,[534527.6],16347.437,[518180.34],9.436768133737475
7,[531280.5],14621.686,[516658.75],9.342898268446111
8,[528446.3],13350.81,[515095.28],9.249029092685035
9,[525601.4],12107.031,[513494.4],9.155160732067452
10,[523324.44],11446.013,[511878.72],9.061293361737526
11,[520899.97],10634.475,[510265.88],8.967426933308351
12,[518640.38],9976.782,[508663.4],8.873561604004035
13,[516408.4],9352.913,[507055.75],8.779697770558395
14,[514406.8],8958.425,[505448.66],8.685835099855824
15,[512457.44],8616.366,[503841.06],8.591973942225959
16,[510596.88],8357.153,[502239.7],8.498114393888947
17,[508528.78],7883.198,[500646.1],8.404256632342692
18,[506623.03],7568.9014,[499054.16],8.31040088364927
19,[505074.4],7604.7534,[497469.62],8.216547307474558
20,[503049.12],7143.556,[495905.53],8.122696059280363
21,[501328.16],6968.043,[494360.03],8.02884744749384
22,[499561.9],6736.8496,[492824.8],7.935002325163451
23,[497914.22],6601.1504,[491312.7],7.841162550697937
24,[496096.8],6282.3555,[489814.9],7.747326413226585
25,[494599.44],6277.647,[488321.97],7.653493867314587
26,[492963.7],6127.616,[486835.9],7.559665594225489
27,[491160.66],5806.373,[485354.3],7.465842066560797
28,[489738.44],5851.5063,[483887.22],7.372023421288632
29,[488257.75],5806.888,[482451.03],7.27821041220798
30,[486566.38],5549.1353,[481017.16],7.184403403589537
31,[485132.1],5542.8604,[479589.],7.090603125484021
32,[483534.4],5341.302,[478192.97],6.996810139552928
33,[481919.25],5110.6235,[476808.78],6.903025237884357
34,[480539.56],5118.489,[475421.16],6.809249134481888
35,[479079.56],5038.6733,[474040.8],6.715482813209848
36,[477716.16],5042.5625,[472673.34],6.621727192758405
37,[476256.1],4931.036,[471325.34],6.5279832593838645
38,[474688.75],4711.5605,[469977.7],6.43425227233232
39,[473480.7],4845.6733,[468635.1],6.340535289088807
40,[472248.88],4926.3364,[467322.38],6.246833954912392
41,[470825.9],4799.508,[466026.16],6.1531495947822075
42,[469309.16],4567.507,[464741.62],6.059483851163301
43,[468029.34],4574.9053,[463454.28],5.965838777170016
44,[466854.78],4671.6265,[462183.4],5.872216386479669
45,[465432.12],4505.376,[460926.8],5.778618592640696
46,[464311.88],4637.995,[459673.94],5.685048099817323
47,[463052.78],4615.1553,[458437.47],5.591507238183328
48,[461606.8],4382.915,[457223.72],5.497999421222021
49,[460366.66],4350.904,[456015.56],5.404527412915042
50,[459111.7],4305.732,[454805.66],5.311094807037696
51,[458068.16],4476.1416,[453592.03],5.217705617555801
52,[456622.9],4215.5073,[452407.],5.124363988471227
53,[455663.75],4437.201,[451226.62],5.0310744989180405
54,[454434.06],4365.4976,[450068.78],4.937842312332156
55,[453090.7],4177.7866,[448912.62],4.844672786704248
56,[451976.3],4219.025,[447757.53],4.751572154505305
57,[450771.56],4159.656,[446612.],4.658547142546254
58,[449613.84],4142.235,[445471.38],4.565604741791032
59,[448473.06],4123.5205,[444349.7],4.472753284392349
60,[447354.22],4121.5317,[443232.6],4.380001269576313
61,[446305.6],4186.7725,[442118.75],4.287358357723067
62,[445148.47],4129.968,[441018.28],4.194835069058208
63,[444029.8],4094.1167,[439935.44],4.102442458484719
64,[442783.12],3925.4011,[438857.7],4.010193097131962
65,[441853.6],4074.865,[437778.72],3.918102206866732
66,[440811.16],4092.6614,[436718.25],3.8261830390151887
67,[439768.12],4088.6025,[435679.78],3.734451835889489
68,[438622.88],3977.136,[434645.66],3.6429262054282683
69,[437489.9],3881.3237,[433608.8],3.5516254078852514
70,[436373.28],3804.1555,[432569.25],3.460570179085321
71,[435578.5],4044.3843,[431534.],3.369783270659168
72,[434364.9],3851.7024,[430513.3],3.279289170920792
73,[433359.7],3855.4385,[429504.06],3.189114581329915
74,[432352.38],3860.568,[428492.],3.0992885082090016
75,[431458.56],3967.7964,[427491.],3.0098421027583733
76,[430308.75],3807.7388,[426501.1],2.9208087975055017
77,[429384.72],3868.9656,[425515.66],2.832224961372118
78,[428557.53],4014.8713,[424542.75],2.744129644240495
79,[427412.5],3826.8167,[423585.4],2.6565649487873926
80,[426481.72],3857.7322,[422623.62],2.5695754053096413
81,[425546.28],3878.149,[421668.1],2.4832093388171934
82,[424606.6],3882.7236,[420724.],2.3975177199002773
83,[423674.3],3889.6968,[419784.47],2.312554912605713
84,[422755.12],3917.1082,[418837.94],2.2283785060537293
85,[421708.66],3808.6787,[417900.],2.145049409137656
86,[420783.53],3810.0374,[416973.2],2.0627073565840033
87,[419978.16],3927.939,[416050.53],1.9813572905011823
88,[418843.44],3713.9546,[415129.47],1.9010524196827758
89,[418089.94],3885.4243,[414204.47],1.8218653765217179
90,[417098.3],3805.7517,[413292.7],1.743870311993806
91,[416213.88],3823.4224,[412390.28],1.6671440303624092
92,[415464.62],3967.4456,[411497.03],1.5917643694531518
93,[414310.3],3691.5059,[410619.],1.5178102044826682
94,[413457.06],3731.1475,[409725.75],1.4453609245211552
95,[412533.38],3697.3625,[408836.03],1.374495187380952
96,[411744.03],3792.3445,[407951.72],1.3052908220908752
97,[410769.28],3694.094,[407075.],1.2378140462034344
98,[410017.38],3816.6497,[406200.7],1.1721481537350436
99,[409147.75],3809.3054,[405338.25],1.1083626489609315
100,[408358.28],3870.392,[404487.78],1.0465219906184786
101,[407684.66],4035.5398,[403649.62],0.9866851577527258
102,[406580.88],3766.6165,[402814.16],0.9288987890698264
103,[405871.06],3891.3574,[401979.66],0.8732157683559972
104,[405043.44],3897.366,[401146.44],0.8196692726823558
105,[404222.9],3906.6892,[400316.38],0.7682896605972899
106,[403205.88],3714.4084,[399491.4],0.7190973056294202
107,[402619.12],3944.1045,[398675.28],0.6721020094509982
108,[401821.88],3954.6208,[397867.16],0.627304295264384
109,[400774.84],3723.5967,[397051.38],0.5846948065317342
110,[399932.78],3711.2783,[396221.47],0.5442552957447466
111,[399199.78],3800.8943,[395398.94],0.505956606815378
112,[398427.06],3836.6426,[394590.25],0.4697625515547918
113,[397687.97],3897.0874,[393791.06],0.4356308941164099
114,[396775.88],3779.4434,[392996.62],0.4035078834894065
115,[396101.94],3907.7625,[392194.06],0.3733352365939985
116,[395348.],3943.7,[391404.1],0.3450489082219667
117,[394688.2],4061.0508,[390627.16],0.31857997662407783
118,[393626.72],3769.1228,[389857.62],0.29385593472745514
119,[393035.16],3957.201,[389078.16],0.27080251772506914
120,[392147.88],3839.6072,[388308.03],0.24934002365312882
121,[391449.3],3912.656,[387536.53],0.22938964405837742
122,[390495.4],3728.986,[386766.84],0.21087215507230264
123,[389792.94],3799.7275,[385993.25],0.19370858149872666
124,[389132.53],3900.6035,[385232.],0.17782083225718115
125,[388427.],3957.91,[384469.34],0.16313224751814584
126,[387850.53],4141.2715,[383708.9],0.14956809379893476
127,[386744.66],3788.6711,[382955.97],0.1370559186423582
128,[386172.72],3982.354,[382190.25],0.1255242222997063
129,[385375.72],3943.6873,[381432.12],0.11489797345426571
130,[384661.6],3979.7834,[380681.72],0.10512470231212608
131,[383928.1],3991.9578,[379936.03],0.09614328307065112
132,[383093.38],3903.4197,[379189.84],0.08789586447480628
133,[382362.84],3918.8672,[378443.9],0.08032783627349599
134,[381595.],3899.5132,[377695.6],0.07338773876435174
135,[380880.5],3930.119,[376950.03],0.06702733659825233
136,[380144.6],3932.8225,[376211.38],0.06120144941776065
137,[379586.56],4110.2275,[375476.2],0.05586789218246422
138,[378687.03],3937.1375,[374749.72],0.05098738413194007
139,[377970.72],3950.949,[374019.6],0.046523359077346414
140,[377408.25],4109.7134,[373298.84],0.042441924486536116
141,[376502.6],3922.7876,[372579.56],0.03871165436023662
142,[375838.3],3978.288,[371860.06],0.035303483158604855
143,[375112.03],3975.141,[371136.94],0.032190553407180696
144,[374463.62],4050.7314,[370413.06],0.029348097952014825
145,[373687.25],3987.5662,[369699.84],0.0267532923824079
146,[372995.9],4006.4048,[368989.66],0.024385114747043933
147,[372375.22],4085.6704,[368289.22],0.022224242785944665
148,[371689.16],4091.6858,[367597.38],0.020252925838245225
149,[370882.94],3975.9824,[366906.94],0.01845485492219536
150,[370170.16],3954.232,[366216.],0.016815089443483765
151,[369376.22],3854.5696,[365521.6],0.015319881161072869
152,[368828.72],4000.9294,[364827.75],0.013956699507702381
153,[368300.8],4163.817,[364137.],0.012714047417599725
154,[367457.47],4007.07,[363450.22],0.011581394270168032
155,[366819.72],4057.799,[362761.97],0.010549117144854602
156,[366175.72],4098.5215,[362077.2],0.009608405795449231
157,[365535.4],4132.4004,[361403.38],0.008751215598678953
158,[364968.22],4234.992,[360733.25],0.007970193433258008
159,[364110.72],4044.375,[360066.38],0.007258622437466234
160,[363461.12],4068.8523,[359392.22],0.0066103703121018174
161,[362816.5],4095.7344,[358720.66],0.006019838183317198
162,[362191.28],4136.277,[358055.],0.0054819153232076555
163,[361658.03],4264.4697,[357393.62],0.0049919413101416005
164,[360823.3],4089.1602,[356734.16],0.004545661423376534
165,[360102.84],4034.8152,[356067.84],0.0041391966992097295
166,[359651.03],4248.4707,[355402.53],0.0037690088419636623
167,[359098.84],4357.5645,[354741.25],0.003431871424983503
168,[358139.97],4050.202,[354089.84],0.003124843983638185
169,[357754.22],4307.6255,[353446.3],0.0028452455794962138
170,[357019.47],4214.984,[352804.84],0.0025906318290372763
171,[356279.03],4124.596,[352154.3],0.00235877590707468
172,[355703.88],4208.6304,[351495.47],0.0021476484520642903
173,[354967.06],4120.681,[350846.6],0.0019553998837178975
174,[354519.88],4303.258,[350217.],0.0017803455074069006
175,[353786.84],4195.0117,[349591.6],0.0016209497079488256
176,[353161.94],4208.993,[348952.84],0.0014758141292523176
177,[352453.1],4137.096,[348316.],0.0013436650901266806
178,[351775.1],4099.0894,[347675.97],0.0012233416411746943
179,[351369.94],4333.252,[347036.47],0.001113787179399965
180,[350715.84],4311.0854,[346404.78],0.0010140386993926964
181,[349885.56],4108.3975,[345777.28],0.0009232193262842493
182,[349236.97],4084.2988,[345152.66],0.0008405304737243409
183,[348843.12],4309.9004,[344533.34],0.000765244910311972
184,[348076.75],4151.939,[343924.66],0.000696700214930456
185,[347493.66],4179.7593,[343313.9],0.0006342933802625138
186,[347064.38],4362.2837,[342702.22],0.0005774748803152354
187,[346276.8],4177.952,[342098.7],0.0005257448216722143
188,[345800.03],4304.7007,[341495.3],0.00047864760281835325
189,[345215.78],4325.9067,[340889.97],0.0004357684860300738
190,[344715.78],4422.6216,[340293.1],0.00039672990165076107
191,[343916.6],4218.1875,[339698.2],0.00036118795107124456
192,[343473.2],4371.295,[339102.28],0.0003288294583765865
193,[342627.56],4124.277,[338503.25],0.0002993688149575175
194,[342330.03],4422.7163,[337907.28],0.0002725474689767318
195,[341621.22],4302.7773,[337318.34],0.0002481288737439805
196,[340995.7],4273.896,[336721.72],0.00022589753645193392
197,[340555.1],4428.1245,[336126.84],0.00020565803639189858
198,[339955.47],4418.4937,[335536.62],0.0001872317431736285
199,[339172.25],4218.3486,[334954.],0.00017045625441207253
200,[338893.5],4530.3506,[334363.],0.000155183683190517
201,[338221.88],4441.4624,[333780.12],0.00014127941033408956
202,[337438.72],4241.255,[333197.72],0.00012862086516168922
203,[336970.75],4366.806,[332603.75],0.00011709645849315924
204,[336347.34],4330.5386,[332016.94],0.00010660457342851458
205,[335911.84],4469.703,[331441.94],9.705271582444055e-05
206,[335141.72],4266.5474,[330875.2],8.835667902842742e-05
207,[334638.78],4338.1562,[330300.5],8.04397883956713e-05
208,[334233.44],4501.62,[329731.72],7.323224018276725e-05
209,[333558.],4388.687,[329169.25],6.667047665108592e-05
210,[333077.6],4471.246,[328606.28],6.069663742313133e-05
211,[332403.75],4354.469,[328049.25],5.525806529031985e-05
212,[332007.6],4518.7305,[327488.94],5.0306779185148826e-05
213,[331296.28],4365.0635,[326931.03],4.579913987611088e-05
214,[330818.72],4454.2104,[326364.3],4.1695388275241704e-05
215,[330288.16],4489.4185,[325798.8],3.79593364783914e-05
216,[329707.6],4462.941,[325244.47],3.455804420985026e-05
217,[329068.22],4378.356,[324689.75],3.14615170565182e-05
218,[328718.9],4594.5693,[324124.16],2.8642444687394307e-05
219,[327988.22],4426.787,[323561.4],2.607596815043819e-05
220,[327360.03],4350.6426,[323009.16],2.3739454423984418e-05
221,[326974.94],4511.086,[322464.1],2.1612301872511697e-05
222,[326282.38],4359.1094,[321923.],1.9675747506758088e-05
223,[325886.8],4502.381,[321384.34],1.791271606755737e-05
224,[325331.75],4482.4956,[320849.22],1.630765818599731e-05
225,[324792.88],4481.7373,[320310.88],1.4846418547989607e-05
226,[324196.53],4424.2383,[319772.53],1.3516112237309442e-05
227,[323769.25],4541.2354,[319227.75],1.2305006529804302e-05
228,[323381.06],4675.6816,[318705.66],1.1202421781987824e-05
229,[322670.38],4485.575,[318184.6],1.0198633225207332e-05
230,[321958.03],4295.4404,[317662.38],9.284786398813393e-06
231,[321680.72],4558.802,[317121.72],8.452826222935393e-06
232,[321242.],4666.1025,[316576.06],7.695412426730588e-06
233,[320648.34],4614.447,[316034.],7.0058672615462675e-06
234,[320250.],4759.1416,[315490.62],6.3781072965385e-06
235,[319535.62],4582.5396,[314953.16],5.806597495467287e-06
236,[319120.],4698.374,[314421.56],5.286298471285916e-06
237,[318551.16],4655.494,[313895.75],4.8126201062709576e-06
238,[317882.9],4508.6094,[313374.5],4.3813856305633555e-06
239,[317370.75],4530.9434,[312839.78],3.988792062154353e-06
240,[316964.44],4666.069,[312298.38],3.6313763306857714e-06
241,[316302.97],4539.624,[311763.6],3.305986857785879e-06
