step elbo accuracy variance lengthscale
0 -3.0178e+07 81.9760 0.9937 0.9937
1000 -1.3775e+05 83.8820 0.3480 1.4247
2000 -1.9875e+04 99.0880 0.9767 4.5259
3000 -1.8436e+04 99.1880 1.5575 5.2924
4000 -1.9635e+04 99.2240 1.9300 5.7975
5000 -2.1285e+04 99.2720 2.2724 6.2361
6000 -1.5761e+04 99.2240 2.6507 6.6599
7000 -1.4328e+04 99.2460 3.0600 7.0546
8000 -1.3353e+04 99.2980 3.4602 7.3767
9000 -1.3394e+04 99.2380 3.7954 7.6134
10000 -1.9921e+04 99.2740 4.0573 7.7575
11000 -1.6604e+04 99.2940 4.2150 7.8537
12000 -1.7728e+04 99.2560 4.3710 7.8715
13000 -1.4775e+04 99.2780 4.5021 7.8767
14000 -1.5416e+04 99.2800 4.5861 7.8969
15000 -1.8988e+04 99.2680 4.7405 7.8515
16000 -1.3570e+04 99.3100 4.9981 7.8699
17000 -1.2688e+04 99.2940 5.2238 7.9590
18000 -1.3524e+04 99.2620 5.5184 8.0308
19000 -1.3676e+04 99.3080 5.8912 8.1132
20000 -1.7133e+04 99.2980 6.1039 8.2179
21000 -1.2928e+04 99.3860 6.8318 8.3559
22000 -1.4918e+04 99.4200 7.4090 8.4004
23000 -1.3350e+04 99.4120 7.9097 8.4298
24000 -1.4258e+04 99.4260 8.3793 8.4563
25000 -1.6244e+04 99.4320 8.8378 8.4729
26000 -1.2837e+04 99.4320 9.2481 8.4991
27000 -1.0579e+04 99.4440 9.6272 8.5264
28000 -1.2804e+04 99.4560 9.9972 8.5359
29000 -1.1559e+04 99.4420 10.3269 8.5572
30000 -1.3583e+04 99.4600 10.6314 8.5766
31000 -1.3954e+04 99.4700 10.9324 8.5813
32000 -1.2442e+04 99.4600 11.1956 8.6006
33000 -9.9520e+03 99.4640 11.4365 8.6182
34000 -1.2605e+04 99.4720 11.6799 8.6215
35000 -1.6725e+04 99.4560 11.8943 8.6354
36000 -9.9419e+03 99.4740 12.0853 8.6539
37000 -1.3130e+04 99.4640 12.2843 8.6560
38000 -1.4495e+04 99.4560 12.4598 8.6703
39000 -1.1396e+04 99.4880 12.6203 8.6855
40000 -1.3802e+04 99.4800 12.7902 8.6821
41000 -1.2749e+04 99.4780 12.8210 8.6851
42000 -1.0581e+04 99.4920 12.8562 8.6895
43000 -1.2207e+04 99.4780 12.8947 8.6909
44000 -1.2161e+04 99.5060 12.9310 8.6939
45000 -1.0980e+04 99.4760 12.9672 8.6972
46000 -1.2451e+04 99.4920 13.0056 8.6981
47000 -1.0825e+04 99.4920 13.0423 8.7005
48000 -1.1208e+04 99.4860 13.0792 8.7027
49000 -1.7167e+04 99.4680 13.1177 8.7029
50000 -1.2204e+04 99.5020 13.1538 8.7054
51000 -1.6136e+04 99.4940 13.1898 8.7081
52000 -1.0423e+04 99.4980 13.2278 8.7086
53000 -1.5837e+04 99.4900 13.2626 8.7123
54000 -1.0610e+04 99.5020 13.2993 8.7139
55000 -1.3528e+04 99.4880 13.3368 8.7142
56000 -1.1441e+04 99.5060 13.3718 8.7169
57000 -1.3976e+04 99.4940 13.4071 8.7193
58000 -9.7708e+03 99.4960 13.4431 8.7205
59000 -1.1360e+04 99.5020 13.4780 8.7227
60000 -1.5049e+04 99.5000 13.5129 8.7247
61000 -1.0962e+04 99.4980 13.5167 8.7250
62000 -1.7073e+04 99.5020 13.5203 8.7254
63000 -1.0915e+04 99.4980 13.5239 8.7258
64000 -8.9918e+03 99.5040 13.5276 8.7261
65000 -1.2591e+04 99.5020 13.5312 8.7266
66000 -1.2770e+04 99.4980 13.5348 8.7270
67000 -1.2464e+04 99.4880 13.5387 8.7272
68000 -1.1087e+04 99.4880 13.5421 8.7277
69000 -1.0982e+04 99.4980 13.5458 8.7280
70000 -1.1444e+04 99.4960 13.5495 8.7283
71000 -1.1205e+04 99.4900 13.5530 8.7288
72000 -1.4251e+04 99.5060 13.5568 8.7290
73000 -1.1237e+04 99.4960 13.5605 8.7293
74000 -1.3612e+04 99.4900 13.5642 8.7296
75000 -1.0471e+04 99.4980 13.5680 8.7298
76000 -1.3798e+04 99.4880 13.5718 8.7300
77000 -1.1250e+04 99.4960 13.5755 8.7303
78000 -1.0691e+04 99.4860 13.5792 8.7305
79000 -1.0433e+04 99.4880 13.5830 8.7307
80000 -1.1110e+04 99.4960 13.5867 8.7310
81000 -1.4013e+04 99.5080 13.5871 8.7310
82000 -9.3728e+03 99.4980 13.5875 8.7310
83000 -1.0948e+04 99.4960 13.5878 8.7311
84000 -1.3525e+04 99.4900 13.5882 8.7311
85000 -1.3092e+04 99.4880 13.5886 8.7311
86000 -1.1397e+04 99.4920 13.5890 8.7312
87000 -1.1839e+04 99.4920 13.5893 8.7312
88000 -1.4544e+04 99.4840 13.5897 8.7312
89000 -1.5703e+04 99.5020 13.5901 8.7312
90000 -1.3339e+04 99.4960 13.5905 8.7313
91000 -1.2980e+04 99.4920 13.5909 8.7313
92000 -1.4488e+04 99.4940 13.5912 8.7313
93000 -1.2829e+04 99.4940 13.5916 8.7313
94000 -1.0167e+04 99.4940 13.5919 8.7314
95000 -1.0491e+04 99.4820 13.5923 8.7314
96000 -1.1481e+04 99.4860 13.5927 8.7314
97000 -1.2664e+04 99.4960 13.5931 8.7314
98000 -1.0840e+04 99.4940 13.5934 8.7315
99000 -1.2764e+04 99.5000 13.5938 8.7315
