elbo accuracy variance lengthscale
-4.9166e+05 68.7100 1.0001 0.9999
-4.9156e+05 76.1700 0.9620 1.1119
-4.9110e+05 75.6700 0.8737 1.2313
-4.9005e+05 74.3200 0.7791 1.3460
-4.8715e+05 72.6100 0.6952 1.4571
-4.8698e+05 70.4600 0.6219 1.5666
-4.8451e+05 69.2600 0.5578 1.6749
-4.7196e+05 69.0000 0.5020 1.7817
-4.7111e+05 71.9700 0.4527 1.8878
-4.5796e+05 75.5500 0.4091 1.9931
-4.4649e+05 78.4300 0.3706 2.0973
-4.4188e+05 80.3600 0.3361 2.2010
-4.3594e+05 82.1600 0.3042 2.3060
-4.0383e+05 83.5100 0.2743 2.4134
-3.6662e+05 84.8900 0.2463 2.5230
-3.6483e+05 83.3200 0.2215 2.6343
-3.2933e+05 83.8900 0.1997 2.7450
-2.7139e+05 85.3100 0.1804 2.8502
-2.3041e+05 87.8000 0.1640 2.9511
-2.1132e+05 91.0500 0.1493 3.0491
-1.5033e+05 92.7000 0.1374 3.1410
-1.1486e+05 93.7500 0.1278 3.2247
-1.1131e+05 94.2200 0.1201 3.3029
-9.3203e+04 94.5500 0.1134 3.3783
-8.2245e+04 94.9300 0.1077 3.4523
-7.9836e+04 95.2700 0.1030 3.5253
-7.0155e+04 95.4500 0.0996 3.5985
-5.7107e+04 95.6200 0.0976 3.6727
-6.0841e+04 95.8000 0.0974 3.7479
-4.7800e+04 95.9300 0.0987 3.8247
-5.8255e+04 96.0700 0.1008 3.9031
-5.6629e+04 96.2200 0.1037 3.9825
-4.6005e+04 96.3300 0.1070 4.0628
-3.8832e+04 96.4100 0.1105 4.1440
-4.5114e+04 96.4900 0.1144 4.2254
-4.6914e+04 96.6200 0.1184 4.3074
-3.0182e+04 96.7600 0.1225 4.3898
-3.9887e+04 96.7600 0.1269 4.4721
-4.3712e+04 96.8600 0.1314 4.5547
-3.6121e+04 96.9300 0.1359 4.6376
-3.8800e+04 96.9500 0.1407 4.7198
-3.5778e+04 97.0100 0.1456 4.8023
-3.1077e+04 97.0200 0.1504 4.8848
-3.5287e+04 97.0500 0.1555 4.9661
-3.5537e+04 97.0800 0.1606 5.0476
-2.6437e+04 97.1100 0.1657 5.1289
-3.1607e+04 97.2100 0.1711 5.2085
-2.8061e+04 97.1700 0.1765 5.2882
-2.1925e+04 97.1900 0.1817 5.3674
-4.5381e+04 97.2100 0.1874 5.4445
-3.0761e+04 97.2300 0.1929 5.5216
-3.8345e+04 97.2500 0.1984 5.5980
-2.7823e+04 97.2900 0.2042 5.6719
-3.9070e+04 97.2900 0.2098 5.7458
-2.6791e+04 97.3000 0.2153 5.8186
-3.2044e+04 97.3200 0.2213 5.8887
-2.9026e+04 97.3500 0.2269 5.9587
-3.3180e+04 97.3300 0.2325 6.0276
-2.0914e+04 97.4000 0.2384 6.0936
-2.7281e+04 97.3800 0.2441 6.1592
-3.2601e+04 97.3400 0.2497 6.2237
-2.6622e+04 97.3800 0.2555 6.2853
-3.8933e+04 97.3800 0.2611 6.3464
-2.5905e+04 97.3800 0.2666 6.4064
-2.0123e+04 97.4200 0.2723 6.4635
-2.8673e+04 97.4200 0.2778 6.5200
-2.9648e+04 97.4100 0.2831 6.5754
-2.8875e+04 97.4600 0.2887 6.6280
-2.4652e+04 97.4400 0.2939 6.6802
-2.4161e+04 97.4300 0.2992 6.7311
-2.4347e+04 97.5000 0.3045 6.7793
-2.4924e+04 97.4700 0.3095 6.8274
-2.7137e+04 97.4300 0.3146 6.8740
-2.4786e+04 97.4900 0.3197 6.9180
-2.8225e+04 97.4700 0.3244 6.9621
-2.4432e+04 97.4800 0.3293 7.0048
-3.1830e+04 97.5000 0.3342 7.0450
-2.4174e+04 97.4700 0.3386 7.0854
-2.1059e+04 97.4900 0.3433 7.1244
-2.4075e+04 97.5200 0.3479 7.1611
-1.9929e+04 97.4800 0.3521 7.1980
-2.8783e+04 97.5400 0.3566 7.2337
-1.8621e+04 97.5300 0.3609 7.2672
-2.4644e+04 97.5100 0.3649 7.3010
-3.2808e+04 97.5800 0.3691 7.3337
-2.9569e+04 97.5400 0.3732 7.3643
-2.3992e+04 97.5100 0.3769 7.3952
