epoch,elbo,nll,kl,prior_mean,prior_std
,,,,,
1,[90366.9],77855.81,[12511.112],-0.001319851,0.053012827
,,,,,
2,[46511.414],34382.94,[12128.451],-0.001563484,0.053236138
,,,,,
3,[38244.965],26681.258,[11563.706],-0.00161312,0.052851939
,,,,,
4,[34257.62],23165.338,[11092.259],-0.001698294,0.052550974
,,,,,
5,[31543.402],20801.176,[10742.22],-0.001726685,0.052317028
,,,,,
6,[29624.545],19081.57,[10542.984],-0.001769616,0.052162379
,,,,,
7,[28127.691],17688.418,[10439.278],-0.00170974,0.052060857
,,,,,
8,[26977.336],16598.75,[10378.594],-0.00173872,0.051997419
,,,,,
9,[25910.139],15580.418,[10329.728],-0.001730457,0.0519273
,,,,,
10,[25484.686],15153.891,[10330.818],-0.001596089,0.051917074
,,,,,
11,[24876.402],14551.633,[10324.759],-0.001535345,0.051929748
,,,,,
12,[24360.18],14001.995,[10358.189],-0.001549635,0.051938043
,,,,,
13,[23794.596],13431.803,[10362.805],-0.001576758,0.051921891
,,,,,
14,[23478.518],13120.84,[10357.693],-0.001572582,0.05192285
,,,,,
15,[23142.11],12803.753,[10338.36],-0.001503471,0.051924062
,,,,,
16,[23067.078],12739.685,[10327.411],-0.001472519,0.051930747
,,,,,
17,[22673.562],12340.019,[10333.556],-0.001445292,0.051932421
,,,,,
18,[22422.074],12083.071,[10338.999],-0.001446334,0.051923159
,,,,,
19,[22594.973],12247.49,[10347.472],-0.001403889,0.051944459
,,,,,
20,[22045.117],11703.385,[10341.722],-0.00145281,0.051933705
,,,,,
21,[22089.137],11722.694,[10366.4375],-0.001372272,0.051944818
,,,,,
22,[21981.271],11600.154,[10381.1045],-0.001346604,0.051960846
,,,,,
23,[21929.959],11544.719,[10385.224],-0.001427942,0.051963929
,,,,,
24,[21744.885],11350.054,[10394.84],-0.00139536,0.051963867
,,,,,
25,[21599.629],11198.245,[10401.384],-0.001390051,0.051971458
,,,,,
26,[21447.004],11078.113,[10368.902],-0.001341724,0.051986078
,,,,,
27,[21177.893],10819.519,[10358.359],-0.001348107,0.051958993
,,,,,
28,[21293.543],10949.835,[10343.747],-0.00133985,0.05196353
,,,,,
29,[21235.523],10886.268,[10349.257],-0.001334314,0.051952668
,,,,,
30,[21102.889],10766.993,[10335.898],-0.001354269,0.051957598
,,,,,
31,[21066.129],10748.188,[10317.942],-0.001349702,0.051948265
,,,,,
32,[20791.518],10474.29,[10317.214],-0.001312963,0.051935958
,,,,,
33,[20723.22],10417.263,[10305.976],-0.001316861,0.051930611
,,,,,
34,[20734.744],10444.412,[10290.347],-0.001326539,0.051924632
,,,,,
35,[20547.506],10271.948,[10275.547],-0.001349707,0.051912782
,,,,,
36,[20550.232],10286.854,[10263.387],-0.001256668,0.051926338
,,,,,
37,[20591.094],10310.789,[10280.319],-0.001291658,0.051927738
,,,,,
38,[20308.914],10053.308,[10255.623],-0.001354408,0.051915742
,,,,,
39,[20541.803],10287.033,[10254.752],-0.001304817,0.051919711
,,,,,
40,[20500.043],10268.861,[10231.182],-0.001274951,0.051911845
,,,,,
41,[20383.8],10165.25,[10218.573],-0.001303665,0.051914651
,,,,,
42,[20124.092],9915.787,[10208.318],-0.001304624,0.051901542
,,,,,
43,[20330.537],10132.021,[10198.517],-0.001267645,0.051923291
,,,,,
44,[20417.36],10191.778,[10225.571],-0.001281904,0.051920489
,,,,,
45,[20077.13],9860.682,[10216.439],-0.001292649,0.051904153
,,,,,
46,[20093.328],9897.173,[10196.163],-0.001238723,0.051908715
,,,,,
47,[20118.969],9958.236,[10160.734],-0.001281977,0.051896334
,,,,,
48,[20043.076],9892.636,[10150.433],-0.001259217,0.051910793
,,,,,
49,[19904.094],9749.748,[10154.342],-0.001253707,0.051905968
,,,,,
