elbo accuracy variance lengthscale
0 -1.6375e+05 82.1040 0.9937 0.9937
100 -1.4049e+05 81.3920 0.5165 2.1426
200 -2.1181e+04 80.9280 0.3469 3.9636
300 -8.8158e+03 80.3080 0.3835 4.4528
400 -5.6606e+03 80.1440 0.4419 4.7040
500 -6.8523e+03 80.0840 0.5087 4.8833
600 -4.8204e+03 80.0800 0.5754 5.0272
700 -2.8943e+03 80.0720 0.6429 5.1500
800 -2.9986e+03 80.0540 0.7119 5.2564
900 -2.7347e+03 80.0600 0.7776 5.3536
1000 -3.2817e+03 80.0640 0.8438 5.4420
1100 -2.6421e+03 80.0540 0.9105 5.5229
1200 -3.0300e+03 80.0620 0.9729 5.5997
1300 -2.6585e+03 80.0500 1.0359 5.6719
1400 -3.0201e+03 80.0520 1.0990 5.7397
1500 -2.6641e+03 80.0660 1.1577 5.8058
1600 -2.9739e+03 80.0540 1.2164 5.8694
1700 -2.1677e+03 80.0480 1.2758 5.9295
1800 -2.1073e+03 80.0780 1.3309 5.9890
1900 -2.7344e+03 80.0400 1.3866 6.0469
2000 -2.7875e+03 80.0480 1.4414 6.1019
2100 -1.7385e+03 80.0640 1.4927 6.1575
2200 -3.1381e+03 80.0360 1.5463 6.2116
2300 -2.7941e+03 80.0440 1.5977 6.2628
2400 -2.2363e+03 80.0560 1.6455 6.3155
2500 -3.0514e+03 80.0440 1.6975 6.3661
2600 -2.3537e+03 80.0320 1.7447 6.4144
2700 -1.6140e+03 80.0400 1.7915 6.4662
2800 -2.1400e+03 80.0480 1.8397 6.5150
2900 -1.2952e+03 80.0340 1.8823 6.5608
3000 -1.5660e+03 80.0380 1.9255 6.6120
3100 -1.4237e+03 80.0460 1.9733 6.6584
3200 -1.4260e+03 80.0400 2.0130 6.7020
3300 -1.9471e+03 80.0360 2.0566 6.7523
3400 -2.5708e+03 80.0440 2.1051 6.7958
3500 -4.1643e+03 80.0420 2.1447 6.8369
3600 -1.7879e+03 80.0460 2.1859 6.8883
3700 -2.8768e+03 80.0400 2.2349 6.9300
3800 -1.1336e+03 80.0460 2.2722 6.9699
3900 -1.9878e+03 80.0540 2.3108 7.0187
4000 -1.0819e+03 80.0480 2.3618 7.0587
4100 -3.0897e+03 80.0440 2.3983 7.0969
4200 -1.8293e+03 80.0580 2.4323 7.1442
4300 -1.9721e+03 80.0560 2.4838 7.1838
4400 -2.1650e+03 80.0560 2.5166 7.2220
4500 -2.2636e+03 80.0500 2.5460 7.2693
4600 -1.6640e+03 80.0560 2.6012 7.3069
4700 -1.3262e+03 80.0620 2.6336 7.3449
4800 -1.4752e+03 80.0480 2.6576 7.3916
4900 -1.2497e+03 80.0540 2.7149 7.4262
5000 -2.3825e+03 80.0580 2.7403 7.4642
5100 -2.9347e+03 80.0420 2.7615 7.5100
5200 -1.9789e+03 80.0500 2.8222 7.5418
5300 -1.2659e+03 80.0440 2.8444 7.5804
5400 -1.3962e+03 80.0420 2.8647 7.6227
5500 -2.9723e+03 80.0500 2.9294 7.6526
5600 -2.7954e+03 80.0400 2.9486 7.6913
5700 -1.2691e+03 80.0340 2.9693 7.7286
5800 -1.2061e+03 80.0500 3.0338 7.7622
5900 -1.2273e+03 80.0400 3.0461 7.8007
